"","x"
"1",5217.82851462272
"2",5002.35710114212
"3",4822.66938677631
"4",4663.54434651376
"5",4558.07794955134
"6",4527.89132318877
"7",4512.25932614519
"8",4498.05339761188
"9",4441.96655605167
"10",4371.46373501688
"11",4311.16016285806
"12",4282.59219751333
"13",4311.39079376842
"14",4345.62404345306
"15",4375.21799469266
"16",4349.4109025746
"17",4291.59544127756
"18",4236.43000547884
"19",4237.59556999421
"20",4268.89094908808
"21",4306.90429024908
"22",4339.54446817386
"23",4315.77401812578
"24",4245.84767637665
"25",4212.29882480195
"26",4190.99302972623
"27",4218.67770334217
"28",4254.31859732172
"29",4284.97145133094
"30",4258.95568176609
"31",4182.79467477599
"32",4124.5953328522
"33",4097.21137546097
"34",4123.08653146689
"35",4158.86920638474
"36",4189.71786477579
"37",4162.46731421216
"38",4081.62950189769
"39",4015.1788269552
"40",3982.93274317595
"41",4003.0512241213
"42",4036.7609936517
"43",4066.63641925898
"44",4036.9694105961
"45",3950.583983089
"46",3878.06298472425
"47",3840.63133166534
"48",3852.94675555883
"49",3883.50649845096
"50",3912.66252765837
"51",3881.02421080221
"52",3789.38096613105
"53",3713.89643071159
"54",3671.39632550635
"55",3675.02469708959
"56",3700.5725374921
"57",3729.49684354661
"58",3697.05262907253
"59",3606.20230880311
