"","x"
"1",5309.1490528889
"2",5102.93185540401
"3",4927.32163040806
"4",5041.69425262157
"5",5112.91765542642
"6",5036.6347762171
"7",4862.42200225645
"8",4881.64665150372
"9",4724.15675783807
"10",4589.91002515585
"11",4745.11660014591
"12",4807.32411628336
"13",4827.61086948461
"14",4801.50715718487
"15",4897.88277375335
"16",4802.50980624045
"17",4703.25874375415
"18",4792.73603981636
"19",4745.11710283636
"20",4800.18674084418
"21",4854.31559324141
"22",4955.82809445266
"23",4883.58887958969
"24",4778.34248310989
"25",4729.38587104676
"26",4594.83615579085
"27",4702.80189813126
"28",4784.04698335728
"29",4855.45020685842
"30",4795.29613934339
"31",4692.07339349151
"32",4532.58027993495
"33",4378.4499767376
"34",4539.43594444154
"35",4615.25821391854
"36",4630.07698548255
"37",4592.05686211904
"38",4487.30080724591
"39",4266.23052847962
"40",4130.99508892414
"41",4301.02480117033
"42",4366.25211152006
"43",4370.68784344273
"44",4367.7220657677
"45",4261.82274352139
"46",4000.59118351383
"47",3881.62133554647
"48",4039.09428649973
"49",4079.73484985431
"50",4097.45142357744
"51",4143.16193119234
"52",4019.78281285033
"53",3792.80966210079
"54",3754.15161248752
"55",3851.70242889005
"56",3810.68703252058
"57",3808.95747288229
"58",3892.29382495334
"59",3760.38376479131
