"","x"
"1",5595.88273245411
"2",5936.35593618332
"3",5904.89182483683
"4",5863.35248808676
"5",5909.33196765635
"6",5836.82196188932
"7",5909.19921273049
"8",6150.7357822331
"9",6186.91622000897
"10",6032.22683468349
"11",5998.50025357612
"12",6030.66745562431
"13",6022.74697012006
"14",6163.21398910561
"15",6416.52404872072
"16",6430.15248652326
"17",6255.2554858928
"18",6214.09382344023
"19",6250.5024599797
"20",6250.31653088823
"21",6399.30552649013
"22",6657.85588482259
"23",6663.52775120336
"24",6473.01217556932
"25",6421.36601344936
"26",6449.99383106805
"27",6439.79297014934
"28",6580.99905101827
"29",6831.85433991748
"30",6820.8251365555
"31",6608.13850728944
"32",6536.83301213128
"33",6546.2865955987
"34",6515.17964880408
"35",6635.69361858047
"36",6864.35430056192
"37",6828.11621557242
"38",6590.10945680657
"39",6493.60297847351
"40",6477.10024502075
"41",6420.19586830547
"42",6512.09596552446
"43",6708.59060276397
"44",6645.42835718985
"45",6387.15340584294
"46",6267.6362254827
"47",6226.16867794057
"48",6146.63786314585
"49",6210.03387533218
"50",6372.80713001536
"51",6289.24859784194
"52",6023.05159999953
"53",5889.93357074213
"54",5831.69923453632
"55",5739.25588203371
"56",5781.45500646214
"57",5916.7818265235
"58",5824.46273739214
"59",5565.068733039
