"","x"
"1",5606.65881412491
"2",5956.56864440928
"3",5927.9434697875
"4",5885.60777694847
"5",5927.98335377193
"6",5850.59517268916
"7",5918.4296066138
"8",6154.18168850859
"9",6182.23045843069
"10",6017.91894396945
"11",5972.63452409668
"12",5991.2667610258
"13",5969.1041925458
"14",6093.02870431176
"15",6326.58031202846
"16",6322.22189982552
"17",6132.28915379444
"18",6073.29831282255
"19",6089.4695083536
"20",6069.86485547926
"21",6195.01143071004
"22",6425.21327990026
"23",6410.94025566649
"24",6209.02950053763
"25",6141.42031157292
"26",6151.1267333358
"27",6124.85136024988
"28",6243.70002025488
"29",6467.01318733291
"30",6443.3433027878
"31",6231.14538405688
"32",6154.03271841721
"33",6154.32904799146
"34",6118.34537819862
"35",6226.76793282271
"36",6438.36551744633
"37",6403.33958866218
"38",6181.04732889534
"39",6092.98419179792
"40",6081.40571456233
"41",6033.73876953742
"42",6128.02626851645
"43",6322.8963903927
"44",6274.91803525621
"45",6043.72814093906
"46",5944.23561924791
"47",5919.38100148265
"48",5859.35683114882
"49",5936.92707198603
"50",6111.15538808788
"51",6050.23397025383
"52",5813.24812505943
"53",5703.6797192475
"54",5666.02366490807
"55",5594.93902488378
"56",5655.27122360282
"57",5807.20418929345
"58",5735.5693499517
"59",5497.87987396372
