"","x"
"1",5526.02106178312
"2",5794.07395973194
"3",5725.82162161074
"4",5666.36011540044
"5",5705.38494438584
"6",5638.27278624838
"7",5714.88924385989
"8",5962.25692186446
"9",6022.67090331351
"10",5909.52598870387
"11",5924.81441376065
"12",6013.57194790818
"13",6069.68718127885
"14",6282.7857242421
"15",6619.21126957986
"16",6713.67057315392
"17",6609.87566536769
"18",6641.71522373115
"19",6749.78527169761
"20",6810.71098668322
"21",7025.54044977892
"22",7350.1238632127
"23",7381.7905421433
"24",7180.34680870872
"25",7116.04801331776
"26",7123.30790026787
"27",7072.29008495764
"28",7172.98247875724
"29",7376.41244934749
"30",7283.84592633899
"31",6971.86068176633
"32",6807.94360865859
"33",6726.37908565082
"34",6605.04450780571
"35",6641.10631831397
"36",6787.4306561637
"37",6678.59892257076
"38",6386.9277957806
"39",6247.38596698945
"40",6197.93467344218
"41",6124.27113994533
"42",6207.47049403625
"43",6404.47830563117
"44",6367.68804063148
"45",6156.1905489936
"46",6087.41650166547
"47",6102.03395083415
"48",6086.26211130416
"49",6218.28097533721
"50",6455.49545812286
"51",6444.94149385452
"52",6242.34464459412
"53",6169.05842354594
"54",6165.20537686107
"55",6116.08775096335
"56",6201.15426290962
"57",6375.92033126736
"58",6293.77432787936
"59",6019.35318358828
